記録者	日付	クエスト分類	ステージ	難易度	周回数	1周スタミナ	ベルブースター	魔法糸ブースター	魔法糸小	魔法糸中	魔法糸大	ベル	ジュエル	プレミアガチャチケット	SR以上限定プレミアガチャチケットのかけら	英気の宝珠核のかけら	気力の宝珠核のかけら	拒絶の宝珠核のかけら	属性の宝珠核のかけら
@Mk2Noko	2021/01/26	宝珠が出るアワビ	朝	深度3	11	7	0	0	0	3	3	37336	0	0	0	59	65	34	12
@Mk2Noko	2021/01/26	宝珠が出るアワビ	朝	深度3	11	7	0	0	0	16	3	53078	0	0	0	42	32	19	10
@Mk2Noko	2021/01/26	宝珠が出るアワビ	朝	深度3	11	7	0	0	0	4	6	74137	0	0	0	25	24	31	8
@Mk2Noko	2021/01/25	宝珠が出るアワビ	朝	深度3	11	7	0	0	0	11	2	45289	0	0	0	26	56	30	27
@tem70409339	2020/10/28	宝珠が出るアワビ	朝	深度3	20	7	1	1	0	30	22	193638	0	0	0	73	60	60	17
@tem70409339	2020/10/28	宝珠が出るアワビ	朝	深度3	20	7	1	1	0	38	8	220128	0	1	0	69	69	50	26
@tem70409339	2020/10/28	宝珠が出るアワビ	朝	深度3	20	7	1	1	0	30	14	226670	5	0	0	57	81	55	0
@tem70409339	2020/10/28	宝珠が出るアワビ	朝	深度3	20	7	1	1	0	54	8	129284	5	0	0	53	85	84	22
@Mk2Noko	2020/10/25	宝珠が出るアワビ	朝	深度3	20	7	1	1	0	36	14	178830	4	0	3	69	70	36	31
